Index,Open,High,Low,Close,Volume,Date
1,0,4.69,4.62,4.62,74400,23-Jun-92
2,0,4.66,4.59,4.59,194400,24-Jun-92
3,0,4.59,4.56,4.59,68800,25-Jun-92
4,0,4.59,4.56,4.56,172800,26-Jun-92
5,0,4.69,4.56,4.69,174000,29-Jun-92
6,0,4.75,4.59,4.62,188400,30-Jun-92
7,0,4.78,4.59,4.78,174800,1-Jul-92
8,0,4.75,4.66,4.69,144800,2-Jul-92
9,0,4.69,4.62,4.62,91200,6-Jul-92
10,0,4.78,4.66,4.75,164400,7-Jul-92
11,0,4.78,4.72,4.75,70400,8-Jul-92
12,0,4.81,4.69,4.72,114800,9-Jul-92
13,0,4.75,4.66,4.75,52400,10-Jul-92
14,0,4.81,4.69,4.81,60000,13-Jul-92
15,0,4.88,4.72,4.75,70400,14-Jul-92
16,0,4.84,4.72,4.78,156000,15-Jul-92
17,0,4.78,4.72,4.75,46400,16-Jul-92
18,0,4.75,4.72,4.72,101600,17-Jul-92
19,0,4.72,4.66,4.69,46000,20-Jul-92
20,0,4.66,4.53,4.56,197600,21-Jul-92
21,0,4.56,4.47,4.47,78400,22-Jul-92
22,0,4.47,4.44,4.44,88000,23-Jul-92
23,0,4.56,4.44,4.53,115200,24-Jul-92
24,0,4.56,4.44,4.44,66000,27-Jul-92
25,0,4.5,4.44,4.47,35600,28-Jul-92
26,0,4.5,4.47,4.5,174000,29-Jul-92
27,0,4.56,4.47,4.56,55200,30-Jul-92
28,0,4.59,4.5,4.53,55600,31-Jul-92
29,0,4.56,4.44,4.44,61600,3-Aug-92
30,0,4.53,4.44,4.53,95600,4-Aug-92
31,0,4.53,4.47,4.53,148800,5-Aug-92
32,0,4.53,4.5,4.53,73600,6-Aug-92
33,0,4.5,4.47,4.47,173200,7-Aug-92
34,0,4.47,4.41,4.47,91600,10-Aug-92
35,0,4.47,4.41,4.41,138400,11-Aug-92
36,0,4.41,4.38,4.38,105200,12-Aug-92
37,0,4.38,4.34,4.38,33200,13-Aug-92
38,0,4.44,4.38,4.44,58400,14-Aug-92
39,0,4.69,4.41,4.69,252000,17-Aug-92
40,0,4.66,4.56,4.56,198000,18-Aug-92
41,0,4.56,4.41,4.44,208000,19-Aug-92
42,0,4.41,4.34,4.34,147600,20-Aug-92
43,0,4.38,4.31,4.38,189200,21-Aug-92
44,0,4.34,4.31,4.34,55600,24-Aug-92
45,0,4.34,4.31,4.31,35200,25-Aug-92
46,0,4.38,4.31,4.38,81600,26-Aug-92
47,0,4.38,4.34,4.34,114800,27-Aug-92
48,0,4.44,4.34,4.38,24000,28-Aug-92
49,0,4.44,4.38,4.38,225600,31-Aug-92
50,0,4.5,4.38,4.5,132000,1-Sep-92
51,0,4.53,4.47,4.5,80800,2-Sep-92
52,0,4.56,4.47,4.53,296400,3-Sep-92
53,0,4.56,4.38,4.44,208800,4-Sep-92
54,0,4.47,4.41,4.41,27200,8-Sep-92
55,0,4.5,4.41,4.5,144400,9-Sep-92
56,0,4.62,4.47,4.59,236400,10-Sep-92
57,0,4.62,4.5,4.59,175600,11-Sep-92
58,0,4.59,4.53,4.53,266400,14-Sep-92
59,0,4.53,4.41,4.41,44000,15-Sep-92
60,0,4.44,4.38,4.44,164800,16-Sep-92
61,0,4.47,4.34,4.47,380400,17-Sep-92
62,0,4.47,4.41,4.44,78000,18-Sep-92
63,0,4.44,4.34,4.41,197200,21-Sep-92
64,0,4.41,4.34,4.41,170800,22-Sep-92
65,0,4.41,4.34,4.41,65600,23-Sep-92
66,0,4.47,4.44,4.44,53600,24-Sep-92
67,0,4.47,4.41,4.41,15600,25-Sep-92
68,0,4.44,4.41,4.44,66000,28-Sep-92
69,0,4.44,4.38,4.38,40800,29-Sep-92
70,0,4.41,4.31,4.34,154000,30-Sep-92
71,0,4.31,4.22,4.25,91600,1-Oct-92
72,0,4.25,4.19,4.25,268400,2-Oct-92
73,0,4.22,4.09,4.16,241600,5-Oct-92
74,0,4.12,4.03,4.09,88000,6-Oct-92
75,0,4.09,3.97,4.03,364800,7-Oct-92
76,0,4.06,3.94,3.97,111200,8-Oct-92
77,0,4,3.75,3.81,275200,9-Oct-92
78,0,3.81,3.72,3.78,312000,12-Oct-92
